run_id,algorithm,threads,pid,cpu_percent,memory_mb,num_threads,context_switches,uptime,timestamp,total_runtime
86,bubble,1,3626,106.1,5.84,2,2,43.96,1749023495.43,86.9
86,bubble,1,3626,96.5,5.84,2,2,44.07,1749023495.54,86.9
86,bubble,1,3626,106.0,5.84,2,2,44.17,1749023495.64,86.9
86,bubble,1,3626,96.5,5.84,2,2,44.27,1749023495.74,86.9
86,bubble,1,3626,96.3,5.84,2,2,44.38,1749023495.85,86.9
86,bubble,1,3626,106.2,5.84,2,2,44.48,1749023495.95,86.9
86,bubble,1,3626,96.4,5.84,2,2,44.59,1749023496.06,86.9
86,bubble,1,3626,96.5,5.84,2,2,44.69,1749023496.16,86.9
86,bubble,1,3626,106.0,5.84,2,2,44.79,1749023496.26,86.9
86,bubble,1,3626,96.5,5.84,2,2,44.9,1749023496.37,86.9
86,bubble,1,3626,106.1,5.84,2,2,45.0,1749023496.47,86.9
86,bubble,1,3626,96.5,5.84,2,2,45.1,1749023496.57,86.9
86,bubble,1,3626,96.4,5.84,2,2,45.21,1749023496.68,86.9
86,bubble,1,3626,106.1,5.84,2,2,45.31,1749023496.78,86.9
86,bubble,1,3626,96.4,5.84,2,2,45.41,1749023496.88,86.9
86,bubble,1,3626,96.5,5.84,2,2,45.52,1749023496.99,86.9
86,bubble,1,3626,106.0,5.84,2,2,45.62,1749023497.09,86.9
86,bubble,1,3626,96.5,5.84,2,2,45.73,1749023497.2,86.9
86,bubble,1,3626,96.4,5.84,2,2,45.83,1749023497.3,86.9
86,bubble,1,3626,106.1,5.84,2,2,45.93,1749023497.4,86.9
86,bubble,1,3626,96.4,5.84,2,2,46.04,1749023497.51,86.9
86,bubble,1,3626,96.5,5.84,2,2,46.14,1749023497.61,86.9
86,bubble,1,3626,106.2,5.84,2,2,46.24,1749023497.71,86.9
86,bubble,1,3626,96.5,5.84,2,2,46.35,1749023497.82,86.9
86,bubble,1,3626,96.5,5.84,2,2,46.45,1749023497.92,86.9
86,bubble,1,3626,106.1,5.84,2,2,46.55,1749023498.02,86.9
86,bubble,1,3626,96.5,5.84,2,2,46.66,1749023498.13,86.9
86,bubble,1,3626,96.4,5.84,2,2,46.76,1749023498.23,86.9
86,bubble,1,3626,106.1,5.84,2,2,46.87,1749023498.34,86.9
86,bubble,1,3626,96.4,5.84,2,2,46.97,1749023498.44,86.9
86,bubble,1,3626,106.1,5.84,2,2,47.07,1749023498.54,86.9
86,bubble,1,3626,96.4,5.84,2,2,47.18,1749023498.65,86.9
86,bubble,1,3626,96.5,5.84,2,2,47.28,1749023498.75,86.9
86,bubble,1,3626,105.8,5.84,2,2,47.38,1749023498.85,86.9
86,bubble,1,3626,96.5,5.84,2,2,47.49,1749023498.96,86.9
86,bubble,1,3626,96.4,5.84,2,2,47.59,1749023499.06,86.9
86,bubble,1,3626,106.2,5.84,2,2,47.7,1749023499.17,86.9
86,bubble,1,3626,96.4,5.84,2,2,47.8,1749023499.27,86.9
86,bubble,1,3626,96.5,5.84,2,2,47.9,1749023499.37,86.9
86,bubble,1,3626,106.0,5.84,2,2,48.01,1749023499.48,86.9
